"Suburb","Rooms","Type","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","PredictedPrice"
"Airport West",3,"h","S","Barry",13.5,"3042",3,1,1,623,123,1965,"Moonee Valley",775000.478401348
"Airport West",3,"h","S","Brad",13.5,"3042",3,1,2,612,123,1965,"Moonee Valley",857128.57539703
"Airport West",3,"h","PI","Nelson",13.5,"3042",3,1,1,585,123,1965,"Moonee Valley",639884.885963211
"Airport West",2,"t","SP","Frank",13.5,"3042",3,1,1,367.5,123,1965,"",343606.974380965
"Airport West",3,"h","S","Ray",13.5,"3042",3,1,1,367.5,123,1965,"",880786.216642156
"Albert Park",3,"h","PI","Buxton",3.3,"3206",3,2,0,211,198,1890,"Port Phillip",1913541.70542356
"Albert Park",2,"h","S","RT",3.3,"3206",2,1,0,130,81,1900,"Port Phillip",1749699.81396454
"Albert Park",2,"h","S","Sotheby's",3.3,"3206",2,1,1,167,123,1965,"Port Phillip",1794275.98463033
"Albert Park",3,"h","S","Cayzer",3.3,"3206",3,1,1,367.5,123,1965,"",2027357.34539803
"Albert Park",3,"h","S","Marshall",3.3,"3206",3,2,1,90,122,1900,"Port Phillip",2311166.49433909
"Albert Park",3,"h","S","Greg",3.3,"3206",3,2,2,0,85,2000,"Port Phillip",2032744.47577129
"Albert Park",3,"h","VB","RT",3.3,"3206",3,2,1,211,147,1900,"Port Phillip",2099270.81746165
"Albert Park",2,"u","S","Greg",3.3,"3206",2,1,1,0,123,1965,"Port Phillip",1234393.80585721
"Albert Park",3,"h","S","hockingstuart",3.3,"3206",3,2,0,152,123,1965,"Port Phillip",1846952.43072517
"Alphington",5,"h","S","Nelson",6.4,"3078",5,4,4,809,165,1910,"Darebin",2418078.32797166
"Alphington",2,"t","S","Miles",6.4,"3078",2,2,3,155,140,2004,"Darebin",1138009.50966592
"Alphington",2,"u","PI","Nelson",6.4,"3078",3,1,1,367.5,123,1965,"",527455.958908878
"Alphington",4,"h","S","Nelson",6.4,"3078",4,2,2,606,112,1970,"Darebin",1661135.22826075
"Altona",2,"t","S","hockingstuart",13.8,"3018",2,1,2,292,125,2013,"Hobsons Bay",362115.255932577
"Altona",2,"h","SP","hockingstuart",13.8,"3018",2,2,1,675,100,1950,"Hobsons Bay",753198.641889101
"Altona",3,"h","S","Barlow",13.8,"3018",3,1,1,929,123,1965,"Hobsons Bay",859179.936856229
"Altona",3,"u","SP","Barlow",13.8,"3018",3,2,1,70,3,2014,"Hobsons Bay",367002.638160622
"Altona North",5,"h","S","FN",11.1,"3025",5,3,6,592,251,1965,"Hobsons Bay",1864325.34112237
"Altona North",4,"h","S","hockingstuart",11.1,"3025",3,1,1,367.5,123,1965,"",993396.316068078
"Altona North",3,"h","S","FN",11.1,"3025",3,1,2,534,167,1967,"Hobsons Bay",857727.389073921
"Altona North",3,"h","S","Sweeney",11.1,"3025",3,1,3,540,123,1965,"Hobsons Bay",786397.012655569
"Altona North",4,"t","S","hockingstuart",11.1,"3025",3,1,1,367.5,123,1965,"",727386.086851099
"Altona North",3,"h","SP","Village",11.1,"3025",3,1,1,367.5,123,1965,"",779091.666855237
"Altona North",3,"h","PI","Village",11.1,"3025",3,1,3,540,116,1960,"Hobsons Bay",720480.361621779
"Altona North",4,"h","SP","Williams",11.1,"3025",4,1,4,558,123,1965,"Hobsons Bay",1048965.05064663
"Altona North",3,"h","SP","Hunter",11.1,"3025",3,1,1,367.5,123,1965,"",737526.087093187
"Altona North",3,"h","S","Greg",11.1,"3025",3,1,1,367.5,123,1965,"",882019.090074258
"Altona North",3,"t","PI","RT",11.1,"3025",3,1,1,367.5,123,1965,"",549910.588760789
"Altona North",3,"h","S","Buxton",11.1,"3025",3,1,1,367.5,123,1965,"",795976.948918703
"Altona North",3,"h","S","Sweeney",11.1,"3025",3,1,4,715,123,2008,"Hobsons Bay",794598.5754352
"Altona North",4,"h","S","Hunter",11.1,"3025",4,1,3,668,123,1965,"Hobsons Bay",973768.832397712
"Altona North",4,"h","SP","RT",11.1,"3025",4,1,4,633,158,1960,"Hobsons Bay",1164300.5895081
"Altona North",3,"h","SP","Hunter",11.1,"3025",3,1,1,557,123,1965,"Hobsons Bay",601450.432039008
"Armadale",2,"u","VB","Jellis",6.3,"3143",2,1,2,0,123,1965,"Stonnington",1057604.90089027
"Armadale",2,"u","S","hockingstuart",6.3,"3143",2,1,1,0,88,1970,"Stonnington",912352.291931036
"Armadale",2,"u","S","hockingstuart",6.3,"3143",1,1,1,0,76,1970,"Stonnington",954189.619631781
"Armadale",3,"u","S","Jellis",6.3,"3143",2,1,1,0,91,1940,"Stonnington",1333206.00286489
"Armadale",5,"h","S","Marshall",6.3,"3143",5,2,2,617,123,1965,"Stonnington",2476367.65688835
"Armadale",1,"u","S","hockingstuart",6.3,"3143",1,1,1,0,53,2013,"Stonnington",649023.571267316
"Armadale",2,"u","S","Ray",6.3,"3143",2,1,1,0,123,1980,"Stonnington",932949.983349442
"Ascot Vale",3,"h","SP","Nelson",5.9,"3032",3,2,2,277,174,1910,"Moonee Valley",1289275.21815374
"Ascot Vale",4,"h","S","Brad",5.9,"3032",4,3,1,478,270,1900,"Moonee Valley",1705002.79061926
"Ascot Vale",2,"h","PI","Nelson",5.9,"3032",2,1,1,214,77,1890,"Moonee Valley",792991.419866363
"Ascot Vale",2,"h","S","Brad",5.9,"3032",3,1,1,367.5,123,1965,"",970897.231607419
"Ascot Vale",2,"u","S","Brad",5.9,"3032",2,1,2,228,90,1995,"Moonee Valley",401531.446329668
"Ascot Vale",3,"h","S","Nelson",5.9,"3032",3,1,1,487,131,1900,"Moonee Valley",1105553.18288938
"Ascot Vale",3,"h","SP","Rendina",5.9,"3032",3,1,1,367.5,123,1965,"",1106157.06789011
"Ascot Vale",3,"h","PI","Jellis",5.9,"3032",3,2,2,495,139,1920,"Moonee Valley",1282426.95313229
"Ascot Vale",4,"h","S","Nelson",5.9,"3032",3,2,2,683,232,1978,"Moonee Valley",1500510.97000385
"Ascot Vale",4,"h","SP","Brad",5.9,"3032",3,1,1,367.5,123,1965,"",1381506.9230045
"Ascot Vale",2,"t","SP","Nelson",5.9,"3032",2,2,1,146,132,2015,"Moonee Valley",592639.34770686
"Ascot Vale",4,"h","S","Nelson",5.9,"3032",4,2,0,418,158,1900,"Moonee Valley",1388461.55843262
"Ascot Vale",4,"h","S","Nelson",5.9,"3032",3,1,1,367.5,123,1965,"",1398943.97819399
"Ascot Vale",3,"h","SP","Frank",5.9,"3032",3,1,3,536,123,1965,"Moonee Valley",1066671.76416079
"Ascot Vale",3,"h","S","Brad",5.9,"3032",3,2,1,576,120,1940,"Moonee Valley",1231501.43432007
"Ascot Vale",3,"h","PI","Nelson",5.9,"3032",3,2,2,459,123,1965,"Moonee Valley",1117717.09742709
"Ascot Vale",3,"h","S","Alexkarbon",5.9,"3032",3,1,0,216,123,1965,"Moonee Valley",906792.353061736
"Ascot Vale",4,"h","S","Jellis",5.9,"3032",4,2,4,598,273,2012,"Moonee Valley",1651181.53163988
"Ascot Vale",3,"h","S","Nelson",5.9,"3032",2,1,1,194,123,1965,"Moonee Valley",1049321.86365313
"Ashburton",4,"h","S","Jellis",11,"3147",3,1,1,367.5,123,1965,"",1830080.69033241
"Ashburton",3,"h","S","Jellis",11,"3147",3,1,1,367.5,123,1965,"",1600323.1703766
"Ashburton",2,"h","S","Buxton",11,"3147",3,1,1,367.5,123,1965,"",1257909.11106791
"Ashburton",5,"h","S","Fletchers",11,"3147",3,1,1,367.5,123,1965,"",1932073.83830601
"Ashburton",4,"h","SP","Marshall",11,"3147",4,2,1,681,123,1940,"Boroondara",1886505.71870967
"Ashburton",3,"h","S","Jellis",11,"3147",3,1,1,367.5,123,1965,"",1600323.1703766
"Ashburton",3,"t","S","Jellis",11,"3147",3,2,2,153,110,1990,"Boroondara",1316861.7256349
"Ashburton",5,"h","S","Jellis",11,"3147",6,4,2,1075,390,2010,"Boroondara",2336441.81318459
"Ashburton",4,"h","VB","Jellis",11,"3147",3,1,1,367.5,123,1965,"",1735350.47396143
"Ashburton",3,"h","S","Jellis",11,"3147",3,1,1,367.5,123,1965,"",1600323.1703766
"Ashburton",3,"h","S","Buxton",11,"3147",3,1,2,583,123,1965,"Boroondara",1360490.0594514
"Ashwood",3,"u","S","Tim",12.2,"3147",3,2,2,467,123,1965,"Monash",656863.783570104
"Ashwood",3,"h","S","Tim",12.2,"3147",3,1,2,723,123,1965,"Monash",960371.664609583
"Ashwood",3,"h","PI","Marshall",12.2,"3147",3,1,1,367.5,123,1965,"",1358303.1893442
"Ashwood",4,"h","S","Buxton",12.2,"3147",4,2,1,593,255,1930,"Monash",1498662.66389054
"Ashwood",2,"h","S","Jellis",12.2,"3147",3,1,1,367.5,123,1965,"",1090207.3664202
"Ashwood",4,"t","PI","Nelson",12.2,"3147",3,1,1,367.5,123,1965,"",1078944.17851854
"Ashwood",4,"t","S","Buxton",12.2,"3147",3,1,1,367.5,123,1965,"",1171055.63776196
"Ashwood",3,"t","S","Tim",12.2,"3147",3,1,1,367.5,123,1965,"",789628.310209306
"Avondale Heights",4,"h","S","Nelson",10.5,"3034",3,2,2,569,225,2008,"Moonee Valley",1125551.36643566
"Avondale Heights",3,"h","S","Nelson",10.5,"3034",3,1,1,367.5,123,1965,"",843654.925329771
"Avondale Heights",4,"h","S","Moonee",10.5,"3034",4,3,2,789,123,1965,"Moonee Valley",1218559.63788783
"Avondale Heights",4,"h","PI","Nelson",10.5,"3034",4,3,3,1801,123,1965,"Moonee Valley",1218280.12999116
"Avondale Heights",3,"h","SP","Biggin",10.5,"3034",3,1,1,367.5,123,1965,"",770009.596023606
"Avondale Heights",3,"h","SP","Moonee",10.5,"3034",3,1,4,606,123,1965,"Moonee Valley",808964.601349607
"Avondale Heights",3,"h","SP","Moonee",10.5,"3034",3,1,2,649,123,1965,"Moonee Valley",669282.657480813
"Avondale Heights",3,"h","S","Nelson",10.5,"3034",3,1,1,581,106,1960,"Moonee Valley",679436.682379197
"Avondale Heights",3,"h","SP","Moonee",10.5,"3034",3,1,1,367.5,123,1965,"",761567.614337689
"Avondale Heights",3,"t","VB","Barry",10.5,"3034",3,1,1,367.5,123,1965,"",502218.23193311
"Avondale Heights",3,"h","S","HAR",10.5,"3034",3,1,1,367.5,123,1965,"",682162.540896621
"Avondale Heights",4,"h","S","Moonee",10.5,"3034",3,1,1,367.5,123,1965,"",1040230.48280804
"Avondale Heights",4,"h","S","Nelson",10.5,"3034",4,2,2,589,150,1961,"Moonee Valley",1110422.69351974
"Avondale Heights",3,"h","S","Moonee",10.5,"3034",3,1,1,367.5,123,1965,"",810472.962852231
"Avondale Heights",3,"u","SP","Moonee",10.5,"3034",3,1,1,367.5,123,1965,"",302646.461621143
"Avondale Heights",3,"h","S","Nelson",10.5,"3034",4,2,1,582,153,1950,"Moonee Valley",828343.295524654
"Balaclava",2,"u","S","Gary",6.6,"3183",2,1,1,0,123,1965,"Port Phillip",575625.141813356
"Balaclava",2,"h","S","Buxton",6.6,"3183",2,1,0,159,84,1930,"Port Phillip",1035432.0024345
"Balaclava",3,"h","S","McGrath",6.6,"3183",3,2,2,339,159,1890,"Port Phillip",1648368.29044724
"Balwyn",4,"h","PI","Fletchers",9.7,"3103",3,1,1,367.5,123,1965,"",1933779.82393461
"Balwyn",3,"h","S","Nelson",9.7,"3103",3,3,2,651,266,1965,"Boroondara",2119521.22560695
"Balwyn",4,"h","S","Marshall",9.7,"3103",3,1,1,367.5,123,1965,"",2330618.90523655
"Balwyn",2,"u","S","Marshall",9.7,"3103",2,1,1,0,123,1965,"Boroondara",1255932.14685797
"Balwyn",2,"h","VB","Fletchers",9.7,"3103",3,1,1,1015,166,1930,"Boroondara",1376169.90580969
"Balwyn",4,"h","PI","Jellis",9.7,"3103",4,2,2,664,123,1965,"Boroondara",2045890.94677813
"Balwyn",2,"u","S","hockingstuart",9.7,"3103",3,1,1,367.5,123,1965,"",1113481.51430511
"Balwyn",1,"h","VB","Jellis",9.7,"3103",1,1,1,740,123,1965,"Boroondara",1293122.61491414
"Balwyn",4,"h","PI","Ascend",9.7,"3103",4,3,2,453,308,2016,"Boroondara",2037278.20555422
"Balwyn",5,"h","S","Marshall",9.7,"3103",5,3,2,642,123,1930,"Boroondara",2707082.88743732
"Balwyn",3,"h","SP","Marshall",9.7,"3103",3,1,1,367.5,123,1965,"",2051956.0367662
"Balwyn",5,"h","PI","hockingstuart",9.7,"3103",3,1,1,367.5,123,1965,"",2146307.02371332
"Balwyn",4,"t","PI","Noel",9.7,"3103",4,3,2,241,240,2009,"Boroondara",1749265.14708178
"Balwyn",2,"u","PI","Jellis",9.7,"3103",2,1,1,115,104,1960,"Boroondara",986154.760986966
"Balwyn",4,"h","S","RT",9.7,"3103",4,3,2,674,336,1997,"Boroondara",2401123.93887168
"Balwyn",4,"h","S","Jellis",9.7,"3103",3,1,1,367.5,123,1965,"",2176912.39909259
"Balwyn",4,"h","S","Marshall",9.7,"3103",3,1,1,367.5,123,1965,"",2330618.90523655
"Balwyn",2,"u","VB","Jellis",9.7,"3103",2,1,1,0,79,1950,"Boroondara",1007845.53411075
"Balwyn",4,"h","SA","Jellis",9.7,"3103",3,1,2,832,123,1965,"Boroondara",2082967.94389681
"Balwyn",3,"h","VB","Marshall",9.7,"3103",3,2,2,380,123,1980,"Boroondara",2012684.24930813
"Balwyn",4,"h","VB","Fletchers",9.7,"3103",3,1,1,367.5,123,1965,"",1954417.8107394
"Balwyn",4,"h","VB","Marshall",9.7,"3103",4,3,2,596,123,1965,"Boroondara",2377843.54743977
"Balwyn",4,"h","SP","Morrison",9.7,"3103",3,1,1,367.5,123,1965,"",2423745.07057283
"Balwyn",2,"u","S","Jellis",9.7,"3103",2,1,1,0,150,1960,"Boroondara",1123130.47550988
"Balwyn",4,"h","VB","Jellis",9.7,"3103",4,2,1,842,123,1965,"Boroondara",1998515.04590174
"Balwyn",3,"t","S","Jellis",9.7,"3103",3,2,2,190,123,1965,"Boroondara",1707781.92163674
"Balwyn",4,"h","S","Nelson",9.7,"3103",4,2,1,665,155,1940,"Boroondara",2054914.96488636
"Balwyn",3,"t","S","hockingstuart",9.7,"3103",3,2,1,259,123,1940,"Boroondara",1530671.43167174
"Balwyn",5,"h","S","Marshall",9.7,"3103",4,2,2,981,260,1960,"Boroondara",2624209.54526057
"Balwyn",2,"u","S","hockingstuart",9.7,"3103",2,1,1,130,80,1960,"Boroondara",944729.428132873
"Balwyn North",3,"t","S","hockingstuart",9.2,"3104",3,2,2,260,167,2000,"Boroondara",1281101.50149148
"Balwyn North",4,"h","S","Noel",9.2,"3104",4,2,2,647,185,1955,"Boroondara",1777413.38698572
"Balwyn North",3,"h","S","Jellis",9.2,"3104",3,1,1,367.5,123,1965,"",1694738.53696691
"Balwyn North",3,"h","VB","Jellis",9.2,"3104",3,1,2,665,124,1950,"Boroondara",1496590.36295523
"Balwyn North",3,"h","PI","Fletchers",9.2,"3104",3,1,1,367.5,123,1965,"",1451605.96180893
"Balwyn North",4,"h","S","hockingstuart",9.2,"3104",4,2,2,662,330,1965,"Boroondara",1867100.20379574
"Balwyn North",4,"h","PI","hockingstuart",9.2,"3104",4,2,2,714,123,1965,"Boroondara",1649063.64543719
"Balwyn North",2,"u","S","Jellis",9.2,"3104",3,1,1,367.5,123,1965,"",1006059.86429455
"Balwyn North",4,"h","PI","Jellis",9.2,"3104",4,3,2,657,355,2006,"Boroondara",2006583.35340595
"Balwyn North",4,"h","VB","Jellis",9.2,"3104",3,1,1,367.5,123,1965,"",1829765.84055174
"Balwyn North",2,"t","S","hockingstuart",9.2,"3104",2,2,2,204,123,1965,"Boroondara",1128601.12217271
"Balwyn North",4,"h","S","Fletchers",9.2,"3104",3,3,2,665,232,1970,"Boroondara",2034264.03117332
"Balwyn North",5,"h","S","Fletchers",9.2,"3104",5,2,2,1002,244,1950,"Boroondara",2049628.79183994
"Balwyn North",4,"h","PI","Jellis",9.2,"3104",4,2,2,1235,196,1960,"Boroondara",1843995.76735008
"Balwyn North",3,"h","S","Jellis",9.2,"3104",4,2,2,917,123,1965,"Boroondara",1682038.97674876
"Balwyn North",3,"h","VB","Jellis",9.2,"3104",3,2,3,949,175,1940,"Boroondara",1768712.85214562
"Balwyn North",2,"h","S","Jellis",9.2,"3104",2,1,4,701,123,1965,"Boroondara",1527190.319114
"Balwyn North",3,"h","S","Fletchers",9.2,"3104",3,2,2,493,123,1965,"Boroondara",1597148.85861044
"Balwyn North",2,"u","S","Christopher",9.2,"3104",2,1,1,1075,123,1970,"Boroondara",624226.419099479
"Balwyn North",4,"h","VB","Marshall",9.2,"3104",4,2,2,644,153,1950,"Boroondara",2004855.43574441
"Balwyn North",5,"h","PI","Fletchers",9.2,"3104",5,3,2,842,200,1961,"Boroondara",2052487.28454492
"Balwyn North",3,"h","PI","Parkes",9.2,"3104",3,1,1,367.5,123,1965,"",1623996.21388169
"Balwyn North",3,"u","S","Jellis",9.2,"3104",3,1,1,367.5,123,1965,"",1235817.38425036
"Balwyn North",3,"t","S","Fletchers",9.2,"3104",3,2,2,186,123,2010,"Boroondara",1260647.37882381
"Balwyn North",3,"h","S","Nelson",9.2,"3104",3,1,2,657,151,1960,"Boroondara",1500429.84474951
"Balwyn North",5,"h","S","Marshall",9.2,"3104",5,3,2,900,355,1955,"Boroondara",2536256.29611149
"Balwyn North",5,"h","S","RT",9.2,"3104",5,2,3,845,199,1980,"Boroondara",2201251.81682932
"Balwyn North",5,"h","VB","Fletchers",9.2,"3104",7,2,0,942,123,1965,"Boroondara",1635694.41180986
"Balwyn North",3,"t","S","Christopher",9.2,"3104",3,1,1,367.5,123,1965,"",1198029.29461585
"Balwyn North",5,"h","S","Jellis",9.2,"3104",4,2,2,939,123,1957,"Boroondara",2153705.46006797
"Bentleigh",2,"u","S","hockingstuart",13,"3204",2,1,2,202,123,1974,"Glen Eira",567642.448156087
"Bentleigh",3,"u","S","hockingstuart",13,"3204",3,1,2,348,121,1950,"Glen Eira",785966.1312177
"Bentleigh",3,"t","PI","Ray",13,"3204",3,2,2,362,123,1997,"Glen Eira",971195.243464849
"Bentleigh",2,"u","S","Ray",13,"3204",3,1,1,367.5,123,1965,"",673021.399370086
"Bentleigh",3,"h","S","Buxton",13,"3204",3,1,1,576,127,1945,"Glen Eira",1220222.89854749
"Bentleigh",3,"h","S","Buxton",13,"3204",3,1,2,692,164,1940,"Glen Eira",1317563.12256505
"Bentleigh",4,"h","PI","Buxton",13,"3204",4,2,2,697,194,1940,"Glen Eira",1557555.94234535
"Bentleigh",4,"h","S","hockingstuart",13,"3204",3,2,2,610,112,1940,"Glen Eira",1646483.56402872
"Bentleigh",2,"h","SP","Marshall",13,"3204",2,1,1,296,103,1940,"Glen Eira",1247938.64221499
"Bentleigh",3,"t","SP","Buxton",13,"3204",3,2,2,333,123,1965,"Glen Eira",1099232.17732959
"Bentleigh",2,"u","SP","hockingstuart",13,"3204",2,1,1,116,92,1960,"Glen Eira",452990.283479004
"Bentleigh",2,"u","PI","Buxton",13,"3204",2,1,0,1045,123,1965,"Glen Eira",367651.607734338
"Bentleigh",4,"h","S","hockingstuart",13,"3204",4,1,1,567,123,1965,"Glen Eira",1337980.72131499
"Bentleigh",3,"h","S","Buxton",13,"3204",3,1,1,367.5,123,1965,"",1376034.31280809
"Bentleigh",3,"h","SP","Buxton",13,"3204",3,2,1,699,123,1965,"Glen Eira",1299423.35490122
"Bentleigh",3,"h","S","Buxton",13,"3204",3,2,2,592,123,1965,"Glen Eira",1417171.49194025
"Bentleigh",3,"h","S","hockingstuart",13,"3204",3,1,2,382,123,1965,"Glen Eira",1223979.67600625
"Bentleigh",3,"h","S","hockingstuart",13,"3204",3,1,2,700,123,1965,"Glen Eira",1227692.21781153
"Bentleigh",3,"h","S","Buxton",13,"3204",3,1,2,632,123,1965,"Glen Eira",1259236.49375394
"Bentleigh",2,"h","VB","Buxton",13,"3204",3,1,1,367.5,123,1965,"",1051546.5764813
"Bentleigh",2,"u","S","Ray",13,"3204",2,1,2,321,123,1965,"Glen Eira",600417.070713266
"Bentleigh",5,"h","VB","Gary",13,"3204",5,3,2,772,123,1986,"Glen Eira",1779047.56596661
"Bentleigh",4,"h","S","hockingstuart",13,"3204",4,2,2,611,168,1970,"Glen Eira",1582005.42454609
"Bentleigh",3,"h","S","C21",13,"3204",3,1,1,617,123,1965,"Glen Eira",1169000.85315357
"Bentleigh",2,"u","SP","Woodards",13,"3204",3,1,1,367.5,123,1965,"",646526.508059559
"Bentleigh",4,"t","S","Buxton",13,"3204",4,3,3,346,220,2010,"Glen Eira",1540204.10869215
"Bentleigh",4,"h","S","C21",13,"3204",4,1,2,580,123,1965,"Glen Eira",1420594.07823316
"Bentleigh",6,"h","S","hockingstuart",13,"3204",6,3,2,708,275,1988,"Glen Eira",2132027.34164924
"Bentleigh East",3,"t","SP","Buxton",13.9,"3165",3,1,1,367.5,123,1965,"",883818.609563047
"Bentleigh East",3,"t","S","Stockdale",13.9,"3165",3,1,1,367.5,123,1965,"",959808.746978113
"Bentleigh East",4,"h","S","Ray",13.9,"3165",4,2,3,591,123,1965,"Glen Eira",1477550.63849221
"Bentleigh East",4,"h","S","Hodges",13.9,"3165",3,2,2,585,178,1950,"Glen Eira",1476224.3046413
"Bentleigh East",4,"h","S","Woodards",13.9,"3165",4,1,2,696,123,1965,"Glen Eira",1272692.97327529
"Bentleigh East",3,"h","S","hockingstuart",13.9,"3165",3,1,4,574,123,1965,"Glen Eira",1189105.0394063
"Bentleigh East",4,"t","S","Buxton",13.9,"3165",3,1,1,367.5,123,1965,"",1162481.4780334
"Bentleigh East",3,"t","S","hockingstuart",13.9,"3165",3,1,1,367.5,123,1965,"",900385.805271153
"Bentleigh East",2,"u","S","Buxton",13.9,"3165",2,1,2,212,123,1965,"Glen Eira",436178.648051006
"Bentleigh East",4,"h","S","Woodards",13.9,"3165",3,1,1,367.5,123,1965,"",1436567.92368874
"Bentleigh East",4,"t","S","hockingstuart",13.9,"3165",3,1,1,367.5,123,1965,"",1130143.32522696
"Bentleigh East",3,"t","VB","Buxton",13.9,"3165",3,2,1,254,117,1995,"Glen Eira",757494.664429232
"Bentleigh East",4,"t","PI","Buxton",13.9,"3165",3,1,1,367.5,123,1965,"",1047113.27485763
"Bentleigh East",3,"h","S","Woodards",13.9,"3165",3,2,4,684,123,1965,"Glen Eira",1389205.60580216
"Bentleigh East",2,"h","S","Buxton",13.9,"3165",2,1,1,306,123,1965,"Glen Eira",826105.241666118
"Bentleigh East",3,"h","S","Woodards",13.9,"3165",3,2,4,710,123,1965,"Glen Eira",1389509.14695605
"Bentleigh East",2,"u","S","Ray",13.9,"3165",2,1,2,282,123,1965,"Glen Eira",422661.633468907
"Bentleigh East",5,"h","S","Woodards",13.9,"3165",5,2,2,729,123,1965,"Glen Eira",1613413.431996
"Bentleigh East",4,"h","S","Buxton",13.9,"3165",4,2,2,583,176,1960,"Glen Eira",1455576.13373721
"Bentleigh East",2,"u","S","Woodards",13.9,"3165",2,2,1,362,123,1965,"Glen Eira",534316.070911689
"Bentleigh East",3,"h","S","hockingstuart",13.9,"3165",4,2,2,337,123,2010,"Glen Eira",1089824.73577417
"Bentleigh East",3,"t","S","Matthew",13.9,"3165",3,2,2,267,156,2000,"Glen Eira",977967.454465953
"Bentleigh East",4,"h","S","hockingstuart",13.9,"3165",4,2,2,674,123,1965,"Glen Eira",1390423.74609258
"Bentleigh East",2,"u","S","hockingstuart",13.9,"3165",2,1,1,154,80,2000,"Glen Eira",259579.157203775
"Bentleigh East",3,"h","S","Woodards",13.9,"3165",3,1,2,686,122,1950,"Glen Eira",1112446.47782306
"Bentleigh East",4,"h","SP","Buxton",13.9,"3165",4,2,2,575,160,1960,"Glen Eira",1398594.7454332
"Bentleigh East",4,"h","PI","Marshall",13.9,"3165",4,1,1,582,151,1960,"Glen Eira",1365592.46077828
"Bentleigh East",3,"h","S","Thomson",13.9,"3165",0,0,0,456,123,1965,"Glen Eira",781755.184696343
"Bentleigh East",4,"t","PI","Buxton",13.9,"3165",3,1,1,367.5,123,1965,"",1047113.27485763
"Bentleigh East",3,"t","S","hockingstuart",13.9,"3165",3,1,1,367.5,123,1965,"",900385.805271153
"Bentleigh East",3,"u","S","Woodards",13.9,"3165",3,2,2,365,150,2011,"Glen Eira",731453.036486404
"Bentleigh East",4,"h","VB","Melbourne",13.9,"3165",3,1,1,367.5,123,1965,"",1431264.62249893
"Bentleigh East",3,"h","S","hockingstuart",13.9,"3165",3,2,3,629,168,1950,"Glen Eira",1322810.71188804
"Bentleigh East",3,"h","S","hockingstuart",13.9,"3165",3,1,3,676,146,1970,"Glen Eira",1124244.80063507
